id,latitude,longitude,start,end,tot_start,tot_end
430697,39.101300,-94.594600,16:41:16.6,19:35:57.1,18:08:35.5,18:09:05.5
430698,39.047000,-94.444000,16:41:34.4,19:36:18.2,18:08:58.6,18:09:25.6
430699,39.095600,-94.559000,16:41:20.7,19:36:01.4,18:08:35.8,18:09:14.7
430704,39.206400,-94.634600,16:41:10.7,19:35:43.6,18:07:53.1,18:09:26.9
430705,39.184200,-94.593200,16:41:15.6,19:35:50.1,18:08:01.0,18:09:31.5
430706,39.191800,-94.615600,16:41:13.0,19:35:47.0,18:07:57.9,18:09:28.3
430707,39.176900,-94.562300,16:41:19.2,19:35:54.1,18:08:04.5,18:09:36.5
430708,39.107000,-94.583200,16:41:17.8,19:35:57.8,18:08:30.5,18:09:12.8
430709,39.108300,-94.577200,16:41:18.4,19:35:58.4,18:08:29.4,18:09:15.3
430710,39.173800,-94.535900,16:41:22.3,19:35:57.2,18:08:06.7,18:09:41.2
430712,39.106500,-94.573300,16:41:18.9,19:35:58.9,18:08:30.2,18:09:15.6
430714,39.048200,-94.466500,16:41:31.8,19:36:15.6,18:09:02.8,18:09:15.4
430715,39.095800,-94.554000,16:41:21.2,19:36:02.0,18:08:35.3,18:09:16.5
430716,39.079000,-94.538800,16:41:23.2,19:36:05.1,18:08:46.0,18:09:11.2
430717,39.072200,-94.524900,16:41:24.9,19:36:07.2,18:08:49.9,18:09:11.4
430718,39.023600,-94.272200,16:41:54.3,19:36:38.9,18:09:02.6,18:10:06.8
430719,39.038200,-94.271700,16:41:54.2,19:36:37.7,18:08:57.2,18:10:10.8
430720,39.082600,-94.541500,16:41:22.8,19:36:04.5,18:08:43.3,18:09:12.9
430721,39.077600,-94.378700,16:41:41.4,19:36:22.6,18:08:41.2,18:09:55.9
430722,39.146700,-94.559700,16:41:19.9,19:35:57.0,18:08:13.4,18:09:31.4
430724,39.044500,-94.387000,16:41:40.9,19:36:24.6,18:08:55.1,18:09:43.6
430725,39.028500,-94.259900,16:41:55.7,19:36:39.8,18:09:00.9,18:10:11.1
430728,39.096400,-94.544100,16:41:22.4,19:36:03.0,18:08:34.3,18:09:19.8
430729,39.035200,-94.315400,16:41:49.2,19:36:33.2,18:08:57.9,18:09:59.6
430730,39.088600,-94.541200,16:41:22.8,19:36:04.0,18:08:38.8,18:09:16.8
430734,39.107100,-94.591500,16:41:16.8,19:35:56.9,18:08:31.0,18:09:10.2
430735,39.106900,-94.577800,16:41:18.4,19:35:58.4,18:08:30.2,18:09:14.4
430737,39.045100,-94.399100,16:41:39.5,19:36:23.2,18:08:55.4,18:09:40.2
430739,39.095800,-94.590800,16:41:17.1,19:35:57.9,18:08:39.8,18:09:02.6
430741,39.059600,-94.489600,16:41:29.0,19:36:12.1,18:08:55.3,18:09:16.2
430742,39.099800,-94.573000,16:41:19.0,19:35:59.5,18:08:34.2,18:09:12.3
430743,39.045300,-94.415500,16:41:37.7,19:36:21.4,18:08:56.4,18:09:35.1
430744,39.109900,-94.565100,16:41:19.8,19:35:59.5,18:08:28.0,18:09:19.5
430745,39.119800,-94.564400,16:41:19.7,19:35:58.8,18:08:23.4,18:09:23.2
430746,39.043500,-94.376500,16:41:42.1,19:36:25.8,18:08:55.2,18:09:46.2
430747,39.183400,-94.522200,16:41:23.7,19:35:57.9,18:08:05.1,18:09:45.1
430748,39.202000,-94.505600,16:41:25.4,19:35:58.1,18:08:02.1,18:09:50.2
430749,39.173100,-94.551300,16:41:20.5,19:35:55.6,18:08:06.1,18:09:38.0
430750,39.137200,-94.568000,16:41:19.1,19:35:56.9,18:08:16.5,18:09:27.3
430752,39.041400,-94.362800,16:41:43.7,19:36:27.5,18:08:55.9,18:09:49.2
430753,39.040000,-94.350500,16:41:45.2,19:36:29.0,18:08:56.2,18:09:52.0
430754,39.034800,-94.305800,16:41:50.3,19:36:34.3,18:08:58.1,18:10:01.8
430755,39.127600,-94.568200,16:41:19.2,19:35:57.7,18:08:20.2,18:09:24.7
430756,39.124200,-94.581600,16:41:17.7,19:35:56.5,18:08:21.6,18:09:20.2
430757,39.038400,-94.339300,16:41:46.5,19:36:30.3,18:08:56.8,18:09:54.4
430759,39.156900,-94.560100,16:41:19.7,19:35:56.0,18:08:10.2,18:09:33.4
430760,39.056100,-94.481700,16:41:30.0,19:36:13.3,18:08:57.2,18:09:16.5
430782,35.391200,-84.718500,17:03:35.8,19:58:32.5,18:32:26.0,18:34:53.7
430783,35.419100,-84.696400,17:03:37.3,19:58:31.6,18:32:24.3,18:34:56.0
430784,35.393300,-84.719600,17:03:35.5,19:58:32.2,18:32:25.6,18:34:53.4
430785,35.398500,-84.714200,17:03:36.0,19:58:32.1,18:32:25.4,18:34:54.1
430787,35.793200,-83.993200,17:04:51.7,19:58:54.9,18:33:46.9,18:35:19.1
430791,35.845800,-83.992800,17:04:49.2,19:58:49.3,18:33:55.0,18:35:02.1
430796,35.903100,-84.157200,17:04:24.8,19:58:28.8,18:33:24.8,18:34:43.1
430805,35.910800,-84.121900,17:04:29.1,19:58:31.0,18:33:35.1,18:34:39.9
430812,35.870600,-84.275800,17:04:10.7,19:58:21.7,18:32:57.2,18:34:47.6
430820,35.903300,-84.118900,17:04:29.8,19:58:32.1,18:33:34.3,18:34:42.7
430821,35.920800,-84.076700,17:04:34.6,19:58:34.0,18:33:52.3,18:34:31.8
430823,35.886400,-84.104200,17:04:32.6,19:58:35.2,18:33:34.7,18:34:48.7
430826,35.866500,-83.959300,17:04:52.7,19:58:50.1,18:34:11.7,18:34:49.8
430828,35.908600,-84.132200,17:04:27.8,19:58:30.4,18:33:31.9,18:34:41.0
430834,35.885800,-84.690600,17:03:15.4,19:57:43.1,18:31:48.8,18:34:13.5
430837,35.885300,-84.684400,17:03:16.3,19:57:43.7,18:31:49.8,18:34:14.2
430845,35.869500,-84.256000,17:04:13.4,19:58:23.6,18:33:00.9,18:34:49.0
430854,35.836300,-83.970500,17:04:52.6,19:58:52.3,18:33:58.8,18:35:05.2
430856,35.925600,-84.133100,17:04:26.9,19:58:28.5,18:33:35.7,18:34:34.1
430861,35.915600,-84.101100,17:04:31.6,19:58:32.4,18:33:42.3,18:34:36.9
430863,35.860100,-84.258700,17:04:13.5,19:58:24.4,18:32:59.9,18:34:50.9
430864,35.918100,-84.090300,17:04:32.9,19:58:33.0,18:33:46.5,18:34:34.8
430869,35.878400,-84.237600,17:04:15.4,19:58:24.3,18:33:04.9,18:34:47.8
430870,35.913300,-84.111400,17:04:30.4,19:58:31.7,18:33:38.6,18:34:38.4
430873,35.856700,-83.960000,17:04:53.0,19:58:51.0,18:34:07.5,18:34:55.5
430874,35.918300,-84.125000,17:04:28.3,19:58:30.0,18:33:36.1,18:34:36.9
430875,35.892800,-84.114700,17:04:30.9,19:58:33.6,18:33:33.3,18:34:46.5
430878,35.926400,-84.052200,17:04:37.5,19:58:35.5,18:34:08.0,18:34:20.7
430880,35.923300,-84.065600,17:04:35.9,19:58:34.7,18:33:58.0,18:34:28.2
430882,35.905800,-84.145000,17:04:26.3,19:58:29.5,18:33:28.2,18:34:42.1
430996,36.140600,-86.722800,16:58:39.2,19:54:08.3,18:27:32.4,18:29:31.0
430997,36.147600,-86.778200,16:58:31.8,19:54:02.3,18:27:27.2,18:29:21.4
430998,36.153400,-86.856400,16:58:21.4,19:53:54.2,18:27:21.2,18:29:07.2
430999,36.221900,-86.747000,16:58:32.6,19:53:57.7,18:27:15.5,18:29:29.1
431000,36.308300,-86.702900,16:58:34.6,19:53:53.1,18:27:06.2,18:29:35.5
431001,36.101900,-86.764600,16:58:35.5,19:54:08.3,18:27:38.4,18:29:21.0
431002,36.144700,-86.698900,16:58:42.1,19:54:10.2,18:27:33.4,18:29:35.4
